Sending build context to Docker daemon  788.7MB
Step 1/14 : FROM fedora:latest
 ---> 536f3995adeb
Step 2/14 : WORKDIR /usr/src/app
 ---> Using cache
 ---> a2a86053c04e
Step 3/14 : RUN dnf -y install	R	wget	apt	perl        cpanminus    &&  rm -rf /var/lib/apt/lists/*
 ---> Using cache
 ---> 97c4bb33472d
Step 4/14 : RUN cpanm File::Spec::Link
 ---> Using cache
 ---> da111276356e
Step 5/14 : RUN INSTALL_PATH=/usr/src/app/anaconda     && wget http://repo.continuum.io/miniconda/Miniconda2-latest-Linux-x86_64.sh     && bash Miniconda2-latest* -fbp $INSTALL_PATH
 ---> Using cache
 ---> f4c38fbf0a05
Step 6/14 : ENV PATH=/root/anaconda/bin:$PATH
 ---> Using cache
 ---> 4fc6e2444523
Step 7/14 : ENV PATH=/usr/src/app/anaconda/bin:$PATH
 ---> Using cache
 ---> 4b72dd1d00e8
Step 8/14 : ENV LD_LIBRARY_PATH=$LD_LIBRARY_PATH:/usr/lib64
 ---> Using cache
 ---> aca090f8318c
Step 9/14 : ENV LD_LIBRARY_PATH=$LD_LIBRARY_PATH:/usr/src/app/code/Reapr_1.0.18_for_Evaldna/third_party/pezmaster31-bamtools/lib
 ---> Running in 3b5551fe4daa
Removing intermediate container 3b5551fe4daa
 ---> 7065bd3e0d74
Step 10/14 : RUN conda install -y --channel=r --channel=bioconda --channel=conda-forge        biopython==1.74         numpy==1.16.5         python==2.7.15         r-caret==6.0_83         r-randomforest==4.6_14         samtools==1.9     && conda clean -ya
 ---> Running in 1f2227202e12
Collecting package metadata (current_repodata.json): ...working... done
Solving environment: ...working... failed with initial frozen solve. Retrying with flexible solve.
Collecting package metadata (repodata.json): ...working... done
Solving environment: ...working... done
[91m

==> WARNING: A newer version of conda exists. <==
  current version: 4.7.12
  latest version: 4.8.3

Please update conda by running

    $ conda update -n base -c defaults conda


[0m
## Package Plan ##

  environment location: /usr/src/app/anaconda

  added / updated specs:
    - biopython==1.74
    - numpy==1.16.5
    - python==2.7.15
    - r-caret==6.0_83
    - r-randomforest==4.6_14
    - samtools==1.9


The following packages will be downloaded:

    package                    |            build
Removed bwidget-1.9.14-0.tar.bz2
Removed r-rlang-0.3.4-r36h96ca727_0.tar.bz2
Removed curl-7.68.0-hf8cf82a_0.tar.bz2
Removed xorg-libxau-1.0.9-h14c3975_0.tar.bz2
Removed libuuid-1.0.3-h1bed415_2.conda
Removed r-foreach-1.4.4-r36h6115d3f_0.tar.bz2
Removed r-glue-1.3.1-r36h96ca727_0.tar.bz2
Removed r-lubridate-1.7.4-r36h29659fb_0.tar.bz2
Removed r-squarem-2017.10_1-r36h6115d3f_0.tar.bz2
Removed gfortran_linux-64-7.3.0-h553295d_18.tar.bz2
Removed r-tidyr-0.8.3-r36h29659fb_0.tar.bz2
Removed r-randomforest-4.6_14-r36ha65eedd_0.tar.bz2
Removed libdeflate-1.2-h516909a_1.tar.bz2
Removed freetype-2.10.1-he06d7ca_0.tar.bz2
Removed r-lazyeval-0.2.2-r36h96ca727_0.tar.bz2
Removed r-lattice-0.20_38-r36h96ca727_0.tar.bz2
Removed r-pkgconfig-2.0.2-r36h6115d3f_0.tar.bz2
Removed ca-certificates-2020.4.5.1-hecc5488_0.tar.bz2
Removed biopython-1.74-py27h516909a_0.tar.bz2
Removed r-class-7.3_15-r36h96ca727_0.tar.bz2
Removed r-codetools-0.2_16-r36h6115d3f_0.tar.bz2
Removed libblas-3.8.0-14_openblas.tar.bz2
Removed r-digest-0.6.18-r36h96ca727_0.tar.bz2
Removed r-viridislite-0.3.0-r36h6115d3f_0.tar.bz2
Removed gettext-0.19.8.1-hc5be6a0_1002.tar.bz2
Removed libgfortran-ng-7.3.0-hdf63c60_5.tar.bz2
Removed pcre-8.44-he1b5a44_0.tar.bz2
Removed r-nnet-7.3_12-r36h96ca727_0.tar.bz2
Removed r-labeling-0.3-r36h6115d3f_4.tar.bz2
Removed pthread-stubs-0.4-h14c3975_1001.tar.bz2
Removed r-timedate-3043.102-r36h6115d3f_0.tar.bz2
Removed htslib-1.9-h4da6232_3.tar.bz2
Removed pango-1.42.4-h049681c_0.conda
Removed gxx_impl_linux-64-7.3.0-hdf63c60_1.conda
Removed r-dplyr-0.8.0.1-r36h29659fb_0.tar.bz2
Removed r-numderiv-2016.8_1-r36h6115d3f_0.tar.bz2
Removed harfbuzz-1.9.0-he243708_1001.tar.bz2
Removed gcc_impl_linux-64-7.3.0-habb00fd_1.conda
Removed libxcb-1.13-h14c3975_1002.tar.bz2
Removed r-tibble-2.1.1-r36h96ca727_0.tar.bz2
Removed gcc_linux-64-7.3.0-h553295d_18.tar.bz2
Removed jpeg-9c-h14c3975_1001.tar.bz2
Removed r-munsell-0.5.0-r36h6115d3f_0.tar.bz2
Removed r-magrittr-1.5-r36h6115d3f_4.tar.bz2
Removed gsl-2.4-h294904e_1006.tar.bz2
Removed bzip2-1.0.8-h516909a_2.tar.bz2
Removed krb5-1.16.4-h173b8e3_0.conda
Removed r-gtable-0.3.0-r36h6115d3f_0.tar.bz2
Removed libssh2-1.8.2-h22169c7_2.tar.bz2
Removed r-lava-1.6.5-r36h6115d3f_0.tar.bz2
Removed xorg-libxdmcp-1.1.3-h516909a_0.tar.bz2
Removed liblapack-3.8.0-14_openblas.tar.bz2
Removed r-tidyselect-0.2.5-r36h29659fb_0.tar.bz2
Removed binutils_impl_linux-64-2.34-h53a641e_0.tar.bz2
Removed r-rpart-4.1_15-r36h96ca727_0.tar.bz2
Removed r-stringi-1.4.3-r36h29659fb_0.tar.bz2
Removed libopenblas-0.3.7-h5ec1e0e_6.tar.bz2
Removed r-rcolorbrewer-1.1_2-r36h6115d3f_0.tar.bz2
Removed r-pillar-1.3.1-r36h6115d3f_0.tar.bz2
WARNING: /root/.conda/pkgs does not exist
Cache location: /usr/src/app/anaconda/pkgs
Will remove the following packages:
/usr/src/app/anaconda/pkgs
--------------------------

_libgcc_mutex-0.1-main                         7 KB
python_abi-2.7-1_cp27mu                       10 KB
libcblas-3.8.0-14_openblas                    36 KB
_r-mutex-1.0.1-anacondar_1                     9 KB
libblas-3.8.0-14_openblas                     36 KB
pthread-stubs-0.4-h14c3975_1001               12 KB
liblapack-3.8.0-14_openblas                   36 KB

---------------------------------------------------
Total:                                       146 KB

removing _libgcc_mutex-0.1-main
removing python_abi-2.7-1_cp27mu
removing libcblas-3.8.0-14_openblas
removing _r-mutex-1.0.1-anacondar_1
removing libblas-3.8.0-14_openblas
removing pthread-stubs-0.4-h14c3975_1001
removing liblapack-3.8.0-14_openblas
Removing intermediate container 1f2227202e12
 ---> cc7522f63d36
Step 11/14 : EXPOSE 8080
 ---> Running in ecb2fcaa1376
Removing intermediate container ecb2fcaa1376
 ---> 8a9382e5bce2
Step 12/14 : RUN useradd --create-home --shell /bin/bash dockeruser
 ---> Running in 32ed56c2df23
Removing intermediate container 32ed56c2df23
 ---> 9d116afc69ab
Step 13/14 : USER dockeruser
 ---> Running in 52a81bdac1dd
Removing intermediate container 52a81bdac1dd
 ---> 32eaa163d190
Step 14/14 : CMD cd code && python EvalDNA_v1.1.py -i ../data/chr8.unlocalized.scaf.fna -o chr8_CH -c ../data/config.txt && Rscript run_mammalian_model_v1.1.R ../results/model_input_chr8_CH.csv
 ---> Running in 0343d08020c6
Removing intermediate container 0343d08020c6
 ---> c2cdd2686d42
Successfully built c2cdd2686d42
Successfully tagged evaldna_test:latest
NW_020822618.1
NW_020822619.1
NW_020822620.1
NW_020822621.1
NW_020822622.1
NW_020822623.1
NW_020822624.1
NW_020822625.1
NW_020822626.1
NW_020822627.1
NW_020822628.1
NW_020822629.1
NW_020822630.1
NW_020822631.1
NW_020822632.1
NW_020822633.1
NW_020822634.1
NW_020822635.1
NW_020822636.1
NW_020822637.1
NW_020822638.1
NW_020822639.1
NW_020822640.1
NW_020822641.1
Input file is  ../data/chr8.unlocalized.scaf.fna
Output file is  chr8_CH
Config file is ../data/config.txt
Checking Input Fasta File
.....Running Basic Stats.....
gap percent is 0.0827034255656
.....Runnning Reapr.....
[REAPR smaltmap] Running: /usr/src/app/code/Reapr_1.0.18_for_Evaldna/src/smalt index -k 13 -s 2 out_reapr_chr8_CH.bam.tmp.47.smaltmap.smalt_index chr8_CH.facheck.fa
# Command line:  /usr/src/app/code/Reapr_1.0.18_for_Evaldna/src/smalt index -k 13 -s 2 out_reapr_chr8_CH.bam.tmp.47.smaltmap.smalt_index chr8_CH.facheck.fa
# Reading sequences ...
# Writing sequence set ...
# Setting up perfect hash index ...
# word length = 13 bases, skip step = 2 bases ...
# number of bits for key = 0 with 0 perfect bits
# Counting k-tuple occurrences ...
# Setting the k-tuple positions in index ...
# Hash table is set up.
# =-=-=-=-= Hash Index Stats =-=-=-=-=
# Perfect hash index.
# Word length:              13 bases
# Skip step:                2 bases
# Number of hash keys:      67108864
# Number of word positions: 48287393
# =-=-= End of Hash Index Stats =-=-=
# Writing table to file ... 
# smalt: Total elapsed wall clock time: 9 seconds
[REAPR smaltmap] Running: /usr/src/app/code/Reapr_1.0.18_for_Evaldna/src/smalt sample -u 50 -o out_reapr_chr8_CH.bam.tmp.47.smaltmap.smalt_sample out_reapr_chr8_CH.bam.tmp.47.smaltmap.smalt_index ../data/chr8_reads_1.fq ../data/chr8_reads_2.fq
# Command line:  /usr/src/app/code/Reapr_1.0.18_for_Evaldna/src/smalt sample -u 50 -o out_reapr_chr8_CH.bam.tmp.47.smaltmap.smalt_sample out_reapr_chr8_CH.bam.tmp.47.smaltmap.smalt_index ../data/chr8_reads_1.fq ../data/chr8_reads_2.fq
# Opening read files ...
# Reading reference sequences ...
# Reading hash table ...
# =-=-=-=-= Hash Index Stats =-=-=-=-=
# Perfect hash index.
# Word length:              13 bases
# Skip step:                2 bases
# Number of hash keys:      67108864
# Number of word positions: 48287393
# =-=-= End of Hash Index Stats =-=-=
# Check of read pairs ok ...
# Mate names match ...
# Sampling insert size distribution ...
# Processed 747988 read pairs
# and 1 single reads.
# smalt: Total elapsed wall clock time: 26 seconds
[REAPR smaltmap] Running: /usr/src/app/code/Reapr_1.0.18_for_Evaldna/src/smalt map -r 0 -x -y 0.5 -n 16  -g out_reapr_chr8_CH.bam.tmp.47.smaltmap.smalt_sample -f samsoft out_reapr_chr8_CH.bam.tmp.47.smaltmap.smalt_index ../data/chr8_reads_1.fq ../data/chr8_reads_2.fq | awk '$1!~/^#/'   | /usr/src/app/code/Reapr_1.0.18_for_Evaldna/src/samtools view -S -T chr8_CH.facheck.fa -b - > out_reapr_chr8_CH.bam.tmp.47.smaltmap.raw.bam
# Command line:  /usr/src/app/code/Reapr_1.0.18_for_Evaldna/src/smalt map -r 0 -x -y 0.5 -n 16 -g out_reapr_chr8_CH.bam.tmp.47.smaltmap.smalt_sample -f samsoft out_reapr_chr8_CH.bam.tmp.47.smaltmap.smalt_index ../data/chr8_reads_1.fq ../data/chr8_reads_2.fq
# Reading distribution of insert sizes from file ...
# Sampled histogram
# Smoothed histogram
# Opening read files ...
# Reading reference sequences ...
# Reading hash table ...
# =-=-=-=-= Hash Index Stats =-=-=-=-=
# Perfect hash index.
# Word length:              13 bases
# Skip step:                2 bases
# Number of hash keys:      67108864
# Number of word positions: 48287393
# =-=-= End of Hash Index Stats =-=-=
# Processing query reads ...
[sam_header_read2] 24 sequences loaded.
# Processed 747989 read pairs.
# smalt: Total elapsed wall clock time: 1 minutes and 50 seconds
[REAPR smaltmap] Running: /usr/src/app/code/Reapr_1.0.18_for_Evaldna/src/samtools sort out_reapr_chr8_CH.bam.tmp.47.smaltmap.raw.bam out_reapr_chr8_CH.bam.tmp.47.smaltmap.raw.bam.sort
[REAPR smaltmap] Running: /usr/src/app/code/Reapr_1.0.18_for_Evaldna/src/samtools rmdup out_reapr_chr8_CH.bam.tmp.47.smaltmap.raw.bam.sort.bam out_reapr_chr8_CH.bam.tmp.47.smaltmap.rmdup.bam
[bam_rmdup_core] processing reference NW_020822618.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_117__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822619.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_136__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822620.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_137__whole_genome_shotgun_sequence...
[bam_rmdup_core] 2 unmatched pairs
[bam_rmdup_core] processing reference NW_020822621.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_143__whole_genome_shotgun_sequence...
[bam_rmdup_core] 2 unmatched pairs
[bam_rmdup_core] processing reference NW_020822622.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_1468__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822623.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_153__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822624.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_1554__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822625.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_1586__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822626.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_183__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822627.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_188__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822628.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_192__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822629.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_45__whole_genome_shotgun_sequence...
[bam_rmdup_core] 2 unmatched pairs
[bam_rmdup_core] processing reference NW_020822630.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_47_new__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822631.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_538__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822632.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_63__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822633.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_716__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822634.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_73__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822635.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_735__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822636.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_79__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822637.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_872__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822638.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_88__whole_genome_shotgun_sequence...
[bam_rmdup_core] 31 unmatched pairs
[bam_rmdup_core] processing reference NW_020822639.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_948__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822640.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_953__whole_genome_shotgun_sequence...
[bam_rmdup_core] processing reference NW_020822641.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_97__whole_genome_shotgun_sequence...
[bam_rmdup_core] 293 / 306622 = 0.0010 in library '	'
[REAPR smaltmap] Running: echo "@HD VN:1.0 SO:coordinate" | awk '{OFS="\t"; $1=$1; print}' > out_reapr_chr8_CH.bam.tmp.47.smaltmap.header
[REAPR smaltmap] Running: /usr/src/app/code/Reapr_1.0.18_for_Evaldna/src/samtools view -H out_reapr_chr8_CH.bam.tmp.47.smaltmap.rmdup.bam >> out_reapr_chr8_CH.bam.tmp.47.smaltmap.header
[REAPR smaltmap] Running: /usr/src/app/code/Reapr_1.0.18_for_Evaldna/src/samtools reheader out_reapr_chr8_CH.bam.tmp.47.smaltmap.header out_reapr_chr8_CH.bam.tmp.47.smaltmap.rmdup.bam > out_reapr_chr8_CH.bam
[REAPR smaltmap] Running: /usr/src/app/code/Reapr_1.0.18_for_Evaldna/src/samtools index out_reapr_chr8_CH.bam
[REAPR smaltmap] Running: rm out_reapr_chr8_CH.bam.tmp.47.smaltmap.*
[REAPR preprocess] sampling region NW_020822618.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_117__whole_genome_shotgun_sequence:486-636673.  Already sampled 0 bases
[REAPR preprocess] sampling region NW_020822618.1_Cricetulus_griseus_strain_17A/GY_chromosome_8_unlocalized_genomic_scaffold__alternate_assembly_CriGri_PICR_picr_117__whole_genome_shotgun_sequence:636809-1000620.  Already sampled 636188 bases
[REAPR preprocess] Sampled 1000000 bases for GC/coverage estimation
mean	636

pc99	755

pc99 = 755.0
mean = 636.0
fcdcutoff = 0.83

past score step
read_REAPR_stats[Soft_clip] = 10579
read_REAPR_stats[Low_read_coverage] = 155941
read_REAPR_stats[Error_free_bases] = 1.61%
read_REAPR_stats[Low_perfect_coverage] = 0
read_REAPR_stats[Links] = 2249
read_REAPR_stats[Total_gap_length] = 60241663
read_REAPR_stats[Mean_sequence_length] = 6558.21
read_REAPR_stats[Number_of_sequences] = 19815
read_REAPR_stats[Low_score_regions] = 28
read_REAPR_stats[Wrong_read_orientation] = 36662
read_REAPR_stats[FCD_errors_over_a_gap] = 0
read_REAPR_stats[Low_fragment_coverage_within_a_contig] = 92693
read_REAPR_stats[FCD_errors_within_a_contig] = 0
read_REAPR_stats[Total_length] = 129950944
read_REAPR_stats[Length_of_longest_sequence] = 9141248
read_REAPR_stats[Number_of_gaps] = 92761
read_REAPR_stats[Low_fragment_coverage_over_a_gap] = 30
read_REAPR_stats[Collapsed_repeats] = 32963
total chr length =96656214
fcd_contig = 0.0
fcd_gap = 0.0
low frag cov contig = 62.1505214347
low frag cov gap = 0.0593453825949
links = 0.271248985606
clips = 0.0109449765951
repeats = 9.50196745757
low read cov = 59.4254550463
.....Combining results in order to run  machine learning on your assembly.....
read_stats[bases_trimmed] = 0
read_stats[error_rate] = 0.000000e+00
read_stats[insert_size_standard_deviation] = 3094.5
read_stats[non-primary_alignments] = 0
read_stats[maximum_length] = 100
read_stats[maximum_last_fragment_length] = 100
read_stats[reads_mapped_and_paired] = 1495429
read_stats[sequences] = 1495429
read_stats[average_quality] = 36.7
read_stats[insert_size_average] = 2133.5
read_stats[reads_mapped] = 1495429
read_stats[reads_unmapped] = 0
read_stats[reads_QC_failed] = 0
read_stats[reads_paired] = 1495429
read_stats[average_last_fragment_length] = 97
read_stats[1st_fragments] = 747719
read_stats[reads_MQ0] = 112556
read_stats[average_length] = 97
read_stats[percentage_of_properly_paired_reads_(%)] = 31.3
read_stats[bases_mapped] = 145365722
read_stats[total_length] = 145365722
read_stats[bases_mapped_(cigar)] = 134724776
read_stats[bases_duplicated] = 0
read_stats[average_first_fragment_length] = 97
read_stats[pairs_with_other_orientation] = 29106
read_stats[mismatches] = 0
read_stats[total_last_fragment_length] = 72650969
read_stats[reads_properly_paired] = 467337
read_stats[inward_oriented_pairs] = 255199
read_stats[filtered_sequences] = 0
read_stats[outward_oriented_pairs] = 22037
read_stats[total_first_fragment_length] = 72714753
read_stats[raw_total_sequences] = 1495429
read_stats[pairs_on_different_chromosomes] = 441360
read_stats[last_fragments] = 747710
read_stats[is_sorted] = 1
read_stats[maximum_first_fragment_length] = 100
read_stats[reads_duplicated] = 0
.....Collecting feature metrics to be tested in ML tool.....
calc metric = [10.519531625768003, 0.08270342556558236, 31.251032312466858, 0.0, 0.0, 62.15052143465913, 0.059345382594853134, 0.2712489856058297, 0.010944976595089893, 9.501967457570808, 59.42545504627359, 1.61, 0.24830271129800302]
Loading required package: lattice
Loading required package: ggplot2
Registered S3 methods overwritten by 'ggplot2':
  method         from 
  [.quosures     rlang
  c.quosures     rlang
  print.quosures rlang
randomForest 4.6-14
Type rfNews() to see new features/changes/bug fixes.

Attaching package: 'randomForest'

The following object is masked from 'package:ggplot2':

    margin

       1 
16.79026 
Warning message:
In read.table(file = file, header = header, sep = sep, quote = quote,  :
  incomplete final line found by readTableHeader on '../results/model_input_chr8_CH.csv'
edtest
